key	verdict	reason	licence	regions	diacritics	file	text
File:Gospodska ulica 02.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_02.JPG	
File:Foča banner.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Foča_banner.jpg	
File:Ulica-S.Radića-ŠB3074.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Ulica-S.Radića-ŠB3074.JPG	
File:Mis Irbina Street in Sarajevo 05.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mis_Irbina_Street_in_Sarajevo_05.jpg	
File:Sarajevo EP-Gas-Station Bulevar-Mese-Selimovica 2011-11-04.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Sarajevo_EP-Gas-Station_Bulevar-Mese-Selimovica_2011-11-04.jpg	EP
File:Trg-žrtava-ŠB03079.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Trg-žrtava-ŠB03079.JPG	
File:NKD 013 gospodska ulica banja luka (1).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	NKD_013_gospodska_ulica_banja_luka_1_.jpg	
File:Mostar - Cafe Coco Loco (49033682451).jpg	drop	only 0 confident region(s)	CC BY	0	0	Mostar_-_Cafe_Coco_Loco_49033682451_.jpg	
File:Tuzla - Trg slobode 2.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	Tuzla_-_Trg_slobode_2.JPG	PKISHZIRAATBANK
File:School sign in Donji Kakanj.jpg	keep		CC BY	9	4	School_sign_in_Donji_Kakanj.jpg	"BOSNA/HERCEGOVINA | FEDERACIJABOSNE1HERCEGOVINE | ZENIČKO | DOBOJSKIKANTON | OPĆINAKAKANJ | OSNOVNAŠKOLA | ""AHMED | MURADBEGOVIĆ"" | DONJIKAKANJ"
File:Sarajevo Hotel-Sarajevo Gas-Station 2011-10-20.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Hotel-Sarajevo_Gas-Station_2011-10-20.jpg	
File:Elviscafe (18797671099).jpg	keep		CC BY	2	1	Elviscafe_18797671099_.jpg	ČISTE | Colle
File:Crkva Uspenja Presvete Bogorodice u Tuzli 8 (2019).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Crkva_Uspenja_Presvete_Bogorodice_u_Tuzli_8_2019_.jpg	
File:Зеница 20190504 161221.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190504_161221.jpg	
File:Sarajevo Kolodvorska 2011-11-06 (5).jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Sarajevo_Kolodvorska_2011-11-06_5_.jpg	Hvala
File:Sarajevo Visit (6097089839).jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Sarajevo_Visit_6097089839_.jpg	BOUTIQUE
File:Амбијентална цјелина, ул. Младена Стојановића и Краља Петра (1).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Амбијентална_цјелина_ул._Младена_Стојановића_и_Краља_Петра_1_.jpg	
File:Зеница 20230104 132701.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230104_132701.jpg	
File:Tuzla - Pannonian Lakes 4 (2019).jpg	keep		CC BY-SA	12	3	Tuzla_-_Pannonian_Lakes_4_2019_.jpg	BAŠTAVRTIĆ | GRILL | TERENZA | SECONDLAKE | 3 JEZERO | 520m | THURDLAKE | PLAŽA | MEDUZA | BAR | BEACH | MUSEUM
File:Velika aleja (Ilidža) 2.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_Ilidža_2.JPG	
File:Зеница 20190819 160237.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190819_160237.jpg	
File:Зеница 20221230 200204.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221230_200204.jpg	
File:Зеница 20180628 134033.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180628_134033.jpg	
File:Gorazde south IMG 0580.JPG	keep		CC BY-SA	2	0	Gorazde_south_IMG_0580.JPG	26 | DIESEL
File:Kovaci 01.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Kovaci_01.jpg	16
File:Šantići-Vitez09290.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Šantići-Vitez09290.JPG	
File:20220226 Sarajevo understands.jpg	keep		CC BY-SA	2	0	20220226_Sarajevo_understands.jpg	UKRANE | #STANDWITH
File:Зеница 20230222 120138.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230222_120138.jpg	
File:Memorijalni centar Rakovačke bare.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Memorijalni_centar_Rakovačke_bare.jpg	
File:Зеница 20190812 132409.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190812_132409.jpg	
File:FK Sarajevo Ferhadiye mağazası soldan gündüz.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	FK_Sarajevo_Ferhadiye_mağazası_soldan_gündüz.jpg	
File:Mir (Sarajevo).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mir_Sarajevo_.jpg	
File:禁止事項 (5127318146).jpg	keep		CC BY-SA	16	0	禁止事項_5127318146_.jpg	OFGAZIhUSREV-BEG'S | MOSQUE | FOR | ONTHE | TICKETSALESAND | OFTHE | MERCHANDISE | vakuf-gaziba | INFORMATION | PURCHASE | HISTORY | MOSOUE | WAOE | RELATED | PLEASE | OFFICE
File:Зеница 20190810 173601.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_173601.jpg	
File:Damaged buildings from the fighting on the Croatian side of Mostar.JPEG	drop	only 0 confident region(s)	PD	0	0	Damaged_buildings_from_the_fighting_on_the_Croatian_side_of_Mostar.JPEG	
File:Mostar, casco antiguo 8.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Mostar_casco_antiguo_8.jpg	Ponda
File:Зеница 20221214 152957.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221214_152957.jpg	
File:Зеница 20190713 130454.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190713_130454.jpg	
File:Зеница 20180730 175900.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180730_175900.jpg	
File:Зеница 20230224 130021.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230224_130021.jpg	
File:Sarajevo 20170717 B.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_20170717_B.jpg	
File:Jajce – Travnik Gate.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Jajce_Travnik_Gate.jpg	
File:1985-03-29 46m.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	1985-03-29_46m.JPG	
File:Bosnian anti-nationalist grafitti.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Bosnian_anti-nationalist_grafitti.jpg	utia.
File:West side of Saint Joseph church in Sarajevo.jpg	drop	only 0 confident region(s)	CC BY	0	0	West_side_of_Saint_Joseph_church_in_Sarajevo.jpg	
File:Зеница 20190719 092650.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20190719_092650.jpg	E
File:Зеница 20200311 181920.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200311_181920.jpg	
File:Kotorsko, odbočka.jpg	keep		CC BY	8	2	Kotorsko_odbočka.jpg	BanjaLuka | Lepbehta | Derventa | Bnjennha | Bjeljina | Modriča | ETnONASELJE | KOTROMANIĆEVO
File:Sarajevo copperworks quarter IMG 1292.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_copperworks_quarter_IMG_1292.JPG	
File:Ilidža - Velika aleja.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Ilidža_-_Velika_aleja.JPG	
File:Mate-boban-Grude01278.JPG	drop	only 0 confident region(s)	PD	0	0	Mate-boban-Grude01278.JPG	
File:Info Atik džamija.jpg	keep		CC0	13	1	Info_Atik_džamija.jpg	Nacionalnispomenik | National Monument | Zonazuštite | Protection | ATMKUAMMJA | Nijesto | ostaci | Mjecro | graditeljskecjeline | Siteandremainsof | thearchitecturalensemble | kutolitkucrvu | n
File:Pomp met zigeunerin, PBK - Unknown - 20511374 - RCE.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Pomp_met_zigeunerin_PBK_-_Unknown_-_20511374_-_RCE.jpg	
File:Зеница 20180627 110801.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180627_110801.jpg	
File:Velika aleja 13.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_13.jpg	
File:Gazi Husrev-beg's Mosque 01.jpg	keep		CC BY-SA	8	1	Gazi_Husrev-beg_s_Mosque_01.jpg	SARAJEVO | OFFICIALAUDIOGUIDE | Guide2Sarajevo.com | AllyouneedtodiscoverSarajevo | GaziHusrev-begovadžamija | GaziHusrev-BeysMosque | GooglePlay | AppStore
File:Зеница 20230104 125439.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230104_125439.jpg	
File:Учитељска школа - табла.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Учитељска_школа_-_табла.jpg	V
File:Križanje-Vitez09345.JPG	keep		CC BY-SA	6	0	Križanje-Vitez09345.JPG	Sarajevo | Zenica | [Zenica | vIa | Vjetrenica | 150m
File:Зеница 20230223 130722.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230223_130722.jpg	
File:Mepas Mall Mostar, Konzum, September 2024.jpg	drop	only 1 confident region(s)	CC0	1	0	Mepas_Mall_Mostar_Konzum_September_2024.jpg	RONZUM
File:Une rue dans la vieille ville - A1571.jpg	drop	only 0 confident region(s)	CC0	0	0	Une_rue_dans_la_vieille_ville_-_A1571.jpg	
File:Зеница 20190819 093932.jpg	drop	only 1 confident region(s)	PD	1	0	Зеница_20190819_093932.jpg	E
File:Зеница 20190815 144601.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144601.jpg	
File:Eko ušće.jpg	drop	only 1 confident region(s)	CC BY-SA	1	2	Eko_ušće.jpg	EKOUŠĆE
File:Sarajevo (14).JPG	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_14_.JPG	
File:Drvored u Dubici.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Drvored_u_Dubici.JPG	
File:Прашнице Зеница 20180625 182600.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Прашнице_Зеница_20180625_182600.jpg	
File:Sarajevo May 2020 14.jpg	keep		CC BY-SA	2	1	Sarajevo_May_2020_14.jpg	OPREZ | OBRUŠAVA SE
File:Зеница 20180623 172726.jpg	keep		PD	2	1	Зеница_20180623_172726.jpg	MERCEĐES | IVECO
File:1970 August People in Jajce J17.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	1970_August_People_in_Jajce_J17.jpg	
File:Зеница 20190815 134902.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_134902.jpg	
File:Ulaz u Kiseljak9185.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	Ulaz_u_Kiseljak9185.JPG	Kiseljak
File:Зеница 20180712 231531r.jpg	keep		CC BY-SA	2	0	Зеница_20180712_231531r.jpg	STOP | MI7
File:Дервента 1.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Дервента_1.jpg	
File:20130606 Mostar 288.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	20130606_Mostar_288.jpg	G
File:Kazandziluk 07.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Kazandziluk_07.jpg	
File:Velika aleja 08.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_08.jpg	
File:Зеница 20180628 084950.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180628_084950.jpg	
File:Velika aleja 37.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_37.jpg	
File:Зеница 20200308 154405.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20200308_154405.jpg	bar
File:Господска улица с.с.jpg	keep		CC BY-SA	3	0	Господска_улица_с.с.jpg	stfood | epper | PER
File:Bihac, Fountain.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Bihac_Fountain.jpg	
File:Зеница 20190815 144714.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144714.jpg	
File:Sarajevo Lozionicka 2011-11-09.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Lozionicka_2011-11-09.jpg	
File:Tuzla-5.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Tuzla-5.JPG	
File:Glavni-most-slavlje09051.JPG	drop	only 0 confident region(s)	PD	0	0	Glavni-most-slavlje09051.JPG	
File:Kosača-fort-Ljubuški002208.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	Kosača-fort-Ljubuški002208.JPG	UGROZENISPOMENIK
File:Зеница 20180627 111204.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20180627_111204.jpg	Pub
File:Komanda 7. korpusa, Travnik, BiH.JPG	keep		CC BY-SA	5	0	Komanda_7._korpusa_Travnik_BiH.JPG	RMIJA | REPUBLIKE | BOSNE1HERCEGOVINE | KOMANDA | TKORPUSA
File:Зеница 20221230 200022.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221230_200022.jpg	
File:20200423 180751 Aleja Ambasadora.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	20200423_180751_Aleja_Ambasadora.jpg	
File:20130606 Mostar 172.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	20130606_Mostar_172.jpg	
File:Зеница 20190122 144734.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190122_144734.jpg	
File:Mostar14BIH77.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar14BIH77.JPG	
File:Зеница 20190509 170942.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190509_170942.jpg	
File:Зеница 20190815 144825.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144825.jpg	
File:Зеница 20190812 230425.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190812_230425.jpg	
File:Remains of destroyed temple of Holy Trinity, Banja Luka.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Remains_of_destroyed_temple_of_Holy_Trinity_Banja_Luka.jpg	
File:Park knjige Banja Luka.jpg	drop	only 0 confident region(s)	CC0	0	0	Park_knjige_Banja_Luka.jpg	
File:Houses on hill in Sarajevo.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Houses_on_hill_in_Sarajevo.jpg	
File:Županija-ZH07498.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Županija-ZH07498.JPG	
File:Зеница 20221230 225512.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221230_225512.jpg	
File:Ivo Andrić Institute, Višegrad 01.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Ivo_Andrić_Institute_Višegrad_01.JPG	
File:Kozarska Dubica promenade.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Kozarska_Dubica_promenade.JPG	
File:NP002 - 15.jpg	keep		CC BY-SA	3	0	NP002_-_15.jpg	POLJANA | BESICA | 758
File:Hiper Kort Istočno Sarajevo.jpg	drop	only 1 confident region(s)	CC BY	1	0	Hiper_Kort_Istočno_Sarajevo.jpg	KORTI
File:Бањалука 20190605 145024.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Бањалука_20190605_145024.jpg	
File:Sejmenska džamija (cropped).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sejmenska_džamija_cropped_.jpg	
File:Зеница 20190811 115754.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190811_115754.jpg	
File:Спомен обиљежје Бијели поток.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Спомен_обиљежје_Бијели_поток.jpg	
File:Зеница 20180712 215924.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180712_215924.jpg	
File:Setnja u Banja Luci.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Setnja_u_Banja_Luci.JPG	
File:Travnik 06.jpg	drop	only 1 confident region(s)	CC BY-SA	1	2	Travnik_06.jpg	ćevabdži
File:Široki09089.JPG	drop	only 0 confident region(s)	PD	0	0	Široki09089.JPG	
File:Зеница 20190810 163947.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20190810_163947.jpg	aK
File:Зеница 20191108 114013.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20191108_114013.jpg	
File:Dans les Rues de Zenica.JPG	drop	only 1 confident region(s)	PD	1	0	Dans_les_Rues_de_Zenica.JPG	PERARA
File:Tuzla - Trnovac Groblje 3 (2019).jpg	keep		CC BY-SA	9	0	Tuzla_-_Trnovac_Groblje_3_2019_.jpg	OA2000.roAnhepepobho | ce | oApxabarpobne | hannahyje | mjecty- | AajeMoryhhoctnpekonabatarpoba. | nocne | 21.00 | cat.
File:Зеница 20190810 165436.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_165436.jpg	
File:Kočija, Ilidža, Bosna i Hercegovina - panoramio.jpg	drop	only 0 confident region(s)	CC BY	0	0	Kočija_Ilidža_Bosna_i_Hercegovina_-_panoramio.jpg	
File:Зеница 20230201 122011 cropped1.jpg	keep		CC BY-SA	5	0	Зеница_20230201_122011_cropped1.jpg	2 | ZENICA | 3 | Co | Agram
File:Зеница 20180623 173140.jpg	keep		PD	7	0	Зеница_20180623_173140.jpg	RADNOVRIEME | Ponedjeljak | Petak | 08.00 | Subota | 16.00 | NeajejaNERADIMO
File:Banja Luka Бања Лука, Bosnia and Herzegovina Босна и Херцеговина - 53033367863.jpg	drop	only 0 confident region(s)	CC BY	0	0	Banja_Luka_Бања_Лука_Bosnia_and_Herzegovina_Босна_и_Херцеговина_-_53033367863.jpg	
File:Bosnia RS Trnovo IMG 0970.JPG	drop	no region with 3+ letters	CC BY-SA	2	0	Bosnia_RS_Trnovo_IMG_0970.JPG	B | M
File:Зеница 20221230 200141.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221230_200141.jpg	
File:Ranjenike ne smijemo ostaviti.jpg	keep		CC BY-SA	5	0	Ranjenike_ne_smijemo_ostaviti.jpg	RANJENIKE | NE | SMIJEMO | OSTAVITI | TITO
File:City promenade, Istočna Ilidža.jpg	drop	only 0 confident region(s)	CC BY	0	0	City_promenade_Istočna_Ilidža.jpg	
File:Зеница 20190815 144938.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144938.jpg	
File:Ilidža Velika aleja 2.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Ilidža_Velika_aleja_2.jpg	
File:Velika aleja 04.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_04.jpg	
File:Sarajevo, Stojimo uz Ukrajinu, Serhii Miniailo.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Stojimo_uz_Ukrajinu_Serhii_Miniailo.jpg	
File:Travnik 05.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Travnik_05.jpg	s
File:BASA-1771K-1-1163-84-Jajce.jpeg	drop	only 0 confident region(s)	PD	0	0	BASA-1771K-1-1163-84-Jajce.jpeg	
File:Kovaci 14.jpg	drop	no region with 3+ letters	CC BY-SA	3	0	Kovaci_14.jpg	5 | BI | JA
File:Зеница 20200301 130457.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200301_130457.jpg	
File:Roundabout Derventa.jpg	keep		CC BY-SA	3	1	Roundabout_Derventa.jpg	ŠTEDNJA | MORA | FORA
File:Зеница 20180318 114035.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180318_114035.jpg	
File:Wandering in Sarajevo (54965062640).jpg	drop	only 0 confident region(s)	CC BY	0	0	Wandering_in_Sarajevo_54965062640_.jpg	
File:Зеница 20190809 191141.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190809_191141.jpg	
File:Зеница 20190815 150105.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_150105.jpg	
File:Зеница 20221230 225527.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221230_225527.jpg	
File:Зеница 20221220 103937.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221220_103937.jpg	
File:Зеница 20190729 135138.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190729_135138.jpg	
File:Vranješ.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Vranješ.jpg	
File:Зеница 20180628 090251.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180628_090251.jpg	
File:Banja Luka Бања Лука, Bosnia and Herzegovina Босна и Херцеговина - 53032332847.jpg	drop	only 1 confident region(s)	CC BY	1	0	Banja_Luka_Бања_Лука_Bosnia_and_Herzegovina_Босна_и_Херцеговина_-_53032332847.jpg	Jukenta
File:M2-Neum-DSCN1154.JPG	drop	only 0 confident region(s)	PD	0	0	M2-Neum-DSCN1154.JPG	
File:Velika aleja 24.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_24.jpg	
File:Kosača-fort-Ljubuški02209.JPG	keep		CC BY-SA	5	1	Kosača-fort-Ljubuški02209.JPG	Graditeljskacielina | apominjekoo | velike | UGROŽENISPOMENIK | utvr
File:Зеница 20221220 104304.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221220_104304.jpg	
File:Visoko - Arheološki lokalitet Mile.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Visoko_-_Arheološki_lokalitet_Mile.jpg	tiai
File:Зеница 20190815 145309.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_145309.jpg	
File:Зеница 20190719 085021.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190719_085021.jpg	
File:Photo-tour Novi Grad - Participants 26.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Photo-tour_Novi_Grad_-_Participants_26.jpg	
File:Aškenaška sinagoga u Sarajevu 11.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Aškenaška_sinagoga_u_Sarajevu_11.jpg	
File:Зеница 20190504 212559.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190504_212559.jpg	
File:Зеница 20190810 165728.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_165728.jpg	
File:Зеница 20191105 153418.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20191105_153418.jpg	
File:Sarajevo - Radićeva 10.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_-_Radićeva_10.jpg	
File:Зеница 20200525 163231.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200525_163231.jpg	
File:Velika aleja 10.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_10.jpg	
File:Zenica05293.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05293.JPG	
File:Zenica05173.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05173.JPG	
File:Sarajevo FR-BER 2011-11-13 (13).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_FR-BER_2011-11-13_13_.jpg	
File:Sarajevo (49095464781).jpg	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_49095464781_.jpg	
File:Зеница 20190811 114430.jpg	keep		CC BY-SA	3	0	Зеница_20190811_114430.jpg	Hoteli | Stadion | Svllije
File:Господска улица (12).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Господска_улица_12_.jpg	
File:Banja Luka Бања Лука, Bosnia and Herzegovina Босна и Херцеговина - 53033100174.jpg	drop	only 1 confident region(s)	CC BY	1	0	Banja_Luka_Бања_Лука_Bosnia_and_Herzegovina_Босна_и_Херцеговина_-_53033100174.jpg	i
File:20130606 Mostar 173.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	20130606_Mostar_173.jpg	
File:Зеница 20190815 144911.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144911.jpg	
File:Umoljani – nekropole 7.jpg	keep		CC BY-SA	2	0	Umoljani_nekropole_7.jpg	inUmoljuni | 4n
File:Zenica05295.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05295.JPG	
File:Парк природе Борја (2).JPG	keep		CC BY-SA	17	2	Парк_природе_Борја_2_.JPG	MJESTU | HEROJSKI | SU | svoJE | U | VI | TOJ | BORACA | BATALJONA | V | TEkozaRAČKE | BPIGADE | BRANEĆI | KOJE | SE | SLAVA | BORCIMA
File:Зеница 20190819 160112.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190819_160112.jpg	
File:Зеница 20190810 165849.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_165849.jpg	
File:Зеница 20190819 100231.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20190819_100231.jpg	Voc
File:Зеница 20230220 163819.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230220_163819.jpg	
File:JuSarajevoLateinerbrücke2.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	JuSarajevoLateinerbrücke2.jpg	
File:Зеница 20190812 231112.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190812_231112.jpg	
File:Aleja - panoramio (13).jpg	drop	only 0 confident region(s)	CC BY	0	0	Aleja_-_panoramio_13_.jpg	
File:Brcko distrikt BiH - Fontana mladosti.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Brcko_distrikt_BiH_-_Fontana_mladosti.jpg	
File:Lukavica.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Lukavica.jpg	
File:Прашнице Зеница 20180625 182359.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Прашнице_Зеница_20180625_182359.jpg	
File:Зеница 20190713 130514.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190713_130514.jpg	
File:Fijakeri na Ilidži.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Fijakeri_na_Ilidži.JPG	
File:Tursko kupatilo Vilina Vlas10.jpg	keep		CC BY-SA	5	0	Tursko_kupatilo_Vilina_Vlas10.jpg	Xoten | Hotel` | Vilina | vlas | Hamam
File:Прашнице Зеница 20180625 182619.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Прашнице_Зеница_20180625_182619.jpg	
File:Brunnen - Umoljani.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Brunnen_-_Umoljani.jpg	
File:Зеница 20190815 144219.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_144219.jpg	
File:JŽ-19-37-in-May-2012-in-Doboj 04.jpg	keep		CC BY-SA	2	0	JŽ-19-37-in-May-2012-in-Doboj_04.jpg	PRUGOM | 1968
File:Dovlići Mine Warning.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Dovlići_Mine_Warning.jpg	
File:Зеница 20190815 145616.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_145616.jpg	
File:Зеница 20180620 051545.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180620_051545.jpg	
File:Tržnica u Travniku 0476.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Tržnica_u_Travniku_0476.jpg	
